id,type,inScheme,member,notation,prefLabel,topConceptOf,dc\.identifier,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/collection/xyzmethode/xyzmethode,http://www.w3.org/2004/02/skos/core#Collection,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/A|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/B|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/C|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/D|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/E|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/F|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/G|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/H|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/I|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/J|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/K|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/L|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/M|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/N|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/O|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/P|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/Q|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/R|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/S|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/T|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/U|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/V|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/W|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/X|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/Y|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/Z|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/a|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/b|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/c|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/d|https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/e,xyzmethode,Collectie van xyzmethode.,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/A,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,A,XY_gedigitaliseerd op GRB,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/B,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,B,Z_DHM_v2,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/C,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,C,Z_berekend op basis van hoogteverschil met maaiveld,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/D,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,D,XY_uit dossier,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/E,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,E,Z_methode onbekend,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/F,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,F,Z_topografisch ingemeten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/G,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,G,XY_gedigitaliseerd op topokaart,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/H,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,H,Z_GPS statische fasemeting,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/I,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,I,XY_gedigitaliseerd in Google Earth,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/J,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,J,Z_gedigitaliseerd in Google Earth,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/K,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,K,XY_gedigitaliseerd op kadasterplan,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/L,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,L,XY_topografisch ingemeten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/M,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,M,Z_totaalstation,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/xyzmethode/N,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,N,Z_uit dossier,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/xyzmethode,null,null
